time,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w
1763027699.340874,0.603191015,0.081252594,0.230513606,0.657280298,0.751030207,-0.011671686,0.061644045
1763027699.346487,0.603107391,0.081394577,0.230159832,0.657195859,0.751121879,-0.011832826,0.061396421
1763027699.351673,0.603020292,0.081544969,0.229794753,0.657106824,0.751218200,-0.011996871,0.061138527
1763027699.357647,0.602914564,0.081722777,0.229348454,0.657001188,0.751332760,-0.012199011,0.060825030
1763027699.362834,0.602813771,0.081882497,0.228918825,0.656905852,0.751437068,-0.012397138,0.060525900
1763027699.368484,0.602729158,0.082012742,0.228555773,0.656827288,0.751522958,-0.012567134,0.060276491
1763027699.414424,0.601982464,0.083191688,0.225435608,0.656125141,0.752283752,-0.013985841,0.058080368
1763027699.422546,0.601819396,0.083422852,0.224749209,0.655984790,0.752436399,-0.014309254,0.057607795
1763027699.427944,0.601719879,0.083571673,0.224336323,0.655894293,0.752533317,-0.014502696,0.057322982
1763027699.433626,0.601636970,0.083702735,0.223999898,0.655815523,0.752617002,-0.014655929,0.057086394
1763027699.438818,0.601554353,0.083833616,0.223667125,0.655737413,0.752700031,-0.014805640,0.056849597
1763027699.444558,0.601457082,0.083972982,0.223265387,0.655652949,0.752790928,-0.014993231,0.056570833
1763027699.449943,0.601363188,0.084101299,0.222873353,0.655574539,0.752875686,-0.015178492,0.056301155
1763027699.455624,0.601284478,0.084212658,0.222550424,0.655506768,0.752948344,-0.015329845,0.056077380
1763027699.460783,0.601204882,0.084328924,0.222227139,0.655436316,0.753023386,-0.015479836,0.055851792
1763027699.466441,0.601108916,0.084469585,0.221838038,0.655351538,0.753113687,-0.015658429,0.055578323
1763027699.471925,0.601016265,0.084597496,0.221459259,0.655274074,0.753196895,-0.015834136,0.055313340
1763027699.477732,0.600941412,0.084693363,0.221148831,0.655215374,0.753260553,-0.015981323,0.055099284
1763027699.482898,0.600849834,0.084808202,0.220768225,0.655144032,0.753337562,-0.016165238,0.054840718
1763027699.489911,0.600743127,0.084954769,0.220335071,0.655053899,0.753433168,-0.016370162,0.054542358
1763027699.495641,0.600669083,0.085058276,0.220037877,0.654990264,0.753500283,-0.016510105,0.054336760
1763027699.500728,0.600579079,0.085177481,0.219674321,0.654916843,0.753578365,-0.016682629,0.054086019
1763027699.505948,0.600504381,0.085270965,0.219366483,0.654858814,0.753640532,-0.016830158,0.053875711
1763027699.511533,0.600431511,0.085357089,0.219065820,0.654804954,0.753698647,-0.016976294,0.053671451
1763027699.516744,0.600359895,0.085440819,0.218769729,0.654752408,0.753755271,-0.017120504,0.053471110
1763027699.564916,0.600269002,0.085542705,0.218396398,0.654686856,0.753825426,-0.017308077,0.053223628
1763027699.572531,0.599553534,0.086213113,0.215371575,0.654223227,0.754321098,-0.018917155,0.051320424
1763027699.577711,0.599487268,0.086261895,0.215087073,0.654185585,0.754361212,-0.019077995,0.051151252
1763027699.584541,0.599408101,0.086317575,0.214747884,0.654142202,0.754407585,-0.019270016,0.050949278
1763027699.589747,0.599328662,0.086367108,0.214402366,0.654101821,0.754451215,-0.019467936,0.050746183
1763027699.595548,0.599251726,0.086408580,0.214063891,0.654065930,0.754490435,-0.019664201,0.050549670
1763027699.600660,0.599190822,0.086437885,0.213794801,0.654039367,0.754519761,-0.019821291,0.050394083
1763027699.606028,0.599118053,0.086465558,0.213469791,0.654011107,0.754551411,-0.020015019,0.050210358
1763027699.611029,0.599057280,0.086483687,0.213194008,0.653989125,0.754576027,-0.020183217,0.050058995
1763027699.616632,0.598997658,0.086497678,0.212921828,0.653968990,0.754598618,-0.020352165,0.049912632
1763027699.622448,0.598928790,0.086508496,0.212605056,0.653948027,0.754622400,-0.020552223,0.049745765
1763027699.627673,0.598873188,0.086512892,0.212346905,0.653932775,0.754639804,-0.020718002,0.049612763
