time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027695.972627,0.327743381,0.749566674,-0.280374110,-1.441709161,0.115927145,0.817933619,1.518474698
1763027695.978030,0.327743381,0.749566734,-0.280374110,-1.441709042,0.115927339,0.817933738,1.518474460
1763027695.984971,0.327743024,0.749566674,-0.280374169,-1.441709280,0.115927145,0.817933738,1.518474698
1763027695.990849,0.327743024,0.749566793,-0.280374169,-1.441709280,0.115927242,0.817933738,1.518474460
1763027695.996988,0.327742904,0.749566674,-0.280374169,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.002792,0.327742785,0.749566734,-0.280374289,-1.441709161,0.115927145,0.817933738,1.518474698
1763027696.008740,0.327742547,0.749566793,-0.280374289,-1.441709042,0.115927242,0.817933798,1.518474698
1763027696.014498,0.327742249,0.749566734,-0.280374527,-1.441709161,0.115927145,0.817933738,1.518474698
1763027696.020036,0.327742130,0.749566793,-0.280374706,-1.441709280,0.115927242,0.817933917,1.518474698
1763027696.025851,0.327741832,0.749566793,-0.280374587,-1.441709161,0.115927145,0.817933619,1.518474817
1763027696.031897,0.327741712,0.749566734,-0.280374587,-1.441709280,0.115927339,0.817933738,1.518474936
1763027696.037734,0.327741593,0.749566793,-0.280374587,-1.441709280,0.115927145,0.817933738,1.518474817
1763027696.043582,0.327741534,0.749566913,-0.280374527,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.084133,0.327741355,0.749566793,-0.280374527,-1.441709280,0.115927242,0.817933738,1.518474698
1763027696.091099,0.327741534,0.749566555,-0.280373991,-1.441709042,0.115927145,0.817933619,1.518474817
1763027696.097438,0.327741534,0.749566376,-0.280374169,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.140600,0.327741355,0.749566674,-0.280374169,-1.441709042,0.115927145,0.817933619,1.518474698
1763027696.145998,0.327741355,0.749566674,-0.280374169,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.153099,0.327741295,0.749566734,-0.280374527,-1.441709161,0.115927145,0.817933738,1.518474460
1763027696.159034,0.327741057,0.749566734,-0.280374587,-1.441709161,0.115927435,0.817933798,1.518474698
1763027696.166671,0.327740818,0.749566674,-0.280374706,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.172002,0.327740639,0.749566674,-0.280374825,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.178012,0.327740461,0.749566674,-0.280374825,-1.441709280,0.115927145,0.817933619,1.518474698
1763027696.184944,0.327740282,0.749566674,-0.280374706,-1.441709042,0.115927242,0.817933619,1.518474817
1763027696.191066,0.327740222,0.749566615,-0.280374706,-1.441709042,0.115927145,0.817933619,1.518474698
1763027696.196967,0.327740222,0.749566615,-0.280374706,-1.441709042,0.115927145,0.817933619,1.518474460
1763027696.202913,0.327740222,0.749566615,-0.280374587,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.208770,0.327740222,0.749566674,-0.280374289,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.214673,0.327740282,0.749566615,-0.280373991,-1.441708922,0.115927145,0.817933738,1.518474698
1763027696.220092,0.327740282,0.749566495,-0.280373871,-1.441708922,0.115927145,0.817933738,1.518474698
1763027696.226023,0.327740282,0.749566555,-0.280373812,-1.441709042,0.115927145,0.817933738,1.518474460
1763027696.231865,0.327740282,0.749566555,-0.280373394,-1.441709161,0.115927242,0.817933619,1.518474698
1763027696.237904,0.327740341,0.749566555,-0.280373096,-1.441709042,0.115927339,0.817933619,1.518474698
1763027696.276814,0.327740401,0.749566674,-0.280372560,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.282890,0.327740461,0.749566793,-0.280372500,-1.441709042,0.115927145,0.817933619,1.518474698
1763027696.327920,0.327740461,0.749566793,-0.280372560,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.333805,0.327740222,0.749567032,-0.280372560,-1.441709280,0.115927145,0.817933798,1.518474698
1763027696.339669,0.327740341,0.749566913,-0.280372679,-1.441709280,0.115927339,0.817933738,1.518474698
1763027696.345588,0.327740282,0.749566913,-0.280372679,-1.441709280,0.115927145,0.817933738,1.518474936
1763027696.351651,0.327740222,0.749566793,-0.280372679,-1.441709280,0.115927048,0.817933917,1.518474579
1763027696.357701,0.327740222,0.749566793,-0.280372560,-1.441709280,0.115927145,0.817933619,1.518474817
1763027696.362941,0.327740282,0.749566793,-0.280372560,-1.441709280,0.115927145,0.817933619,1.518474817
1763027696.369033,0.327740461,0.749566793,-0.280372500,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.374884,0.327740341,0.749566674,-0.280372381,-1.441709280,0.115927242,0.817933738,1.518474698
1763027696.380891,0.327740341,0.749566674,-0.280372143,-1.441709280,0.115927145,0.817933619,1.518474817
1763027696.386898,0.327740341,0.749566674,-0.280372024,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.392814,0.327740461,0.749566734,-0.280371904,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.398632,0.327740461,0.749566734,-0.280371904,-1.441709161,0.115927145,0.817933619,1.518474936
1763027696.405642,0.327740461,0.749566734,-0.280371666,-1.441709161,0.115927145,0.817933798,1.518474698
1763027696.411005,0.327740520,0.749566972,-0.280371606,-1.441709280,0.115927145,0.817933500,1.518474936
